service_id,date,exception_type
PI-H19-PI_GTFS-Semaine-01,20190121,2
PI-H19-PI_GTFS-Semaine-01,20190122,2
PI-H19-PI_GTFS-Semaine-01,20190123,2
PI-H19-PI_GTFS-Semaine-01,20190124,2
PI-H19-PI_GTFS-Semaine-01,20190125,2
PI-H19-PI_GTFS-Semaine-01,20190128,2
PI-H19-PI_GTFS-Semaine-01,20190129,2
PI-H19-PI_GTFS-Semaine-01,20190130,2
PI-H19-PI_GTFS-Semaine-01,20190131,2
PI-H19-PI_GTFS-Semaine-01,20190201,2
PI-H19-PI_GTFS-Semaine-01,20190204,2
PI-H19-PI_GTFS-Semaine-01,20190205,2
PI-H19-PI_GTFS-Semaine-01,20190206,2
PI-H19-PI_GTFS-Semaine-01,20190207,2
PI-H19-PI_GTFS-Semaine-01,20190208,2
PI-H19-PI_GTFS-Semaine-01,20190211,2
PI-H19-PI_GTFS-Semaine-01,20190212,2
PI-H19-PI_GTFS-Semaine-01,20190213,2
PI-H19-PI_GTFS-Semaine-01,20190214,2
PI-H19-PI_GTFS-Semaine-01,20190215,2
PI-H19-PI_GTFS-Semaine-01,20190218,2
PI-H19-PI_GTFS-Semaine-01,20190219,2
PI-H19-PI_GTFS-Semaine-01,20190220,2
PI-H19-PI_GTFS-Semaine-01,20190221,2
PI-H19-PI_GTFS-Semaine-01,20190222,2
PI-H19-PI_GTFS-Semaine-01,20190225,2
PI-H19-PI_GTFS-Semaine-01,20190226,2
PI-H19-PI_GTFS-Semaine-01,20190227,2
PI-H19-PI_GTFS-Semaine-01,20190228,2
PI-H19-PI_GTFS-Semaine-01,20190301,2
PI-H19-PI_GTFS-Semaine-01,20190304,2
PI-H19-PI_GTFS-Semaine-01,20190305,2
PI-H19-PI_GTFS-Semaine-01,20190306,2
PI-H19-PI_GTFS-Semaine-01,20190307,2
PI-H19-PI_GTFS-Semaine-01,20190308,2
PI-H19-PI_GTFS-Semaine-01,20190311,2
PI-H19-PI_GTFS-Semaine-01,20190312,2
PI-H19-PI_GTFS-Semaine-01,20190313,2
PI-H19-PI_GTFS-Semaine-01,20190314,2
PI-H19-PI_GTFS-Semaine-01,20190315,2
PI-H19-PI_GTFS-Semaine-01,20190318,2
PI-H19-PI_GTFS-Semaine-01,20190319,2
PI-H19-PI_GTFS-Semaine-01,20190320,2
PI-H19-PI_GTFS-Semaine-01,20190321,2
PI-H19-PI_GTFS-Semaine-01,20190322,2
PI-H19-PI_GTFS-Semaine-01,20190325,2
PI-H19-PI_GTFS-Semaine-01,20190326,2
PI-H19-PI_GTFS-Semaine-01,20190327,2
PI-H19-PI_GTFS-Semaine-01,20190328,2
PI-H19-PI_GTFS-Semaine-01,20190329,2
PI-H19-PI_GTFS-Semaine-01,20190401,2
PI-H19-PI_GTFS-Semaine-01,20190402,2
PI-H19-PI_GTFS-Semaine-01,20190403,2
PI-H19-PI_GTFS-Semaine-01,20190404,2
PI-H19-PI_GTFS-Semaine-01,20190405,2
PI-H19-PI_GTFS-Semaine-01,20190408,2
PI-H19-PI_GTFS-Semaine-01,20190409,2
PI-H19-PI_GTFS-Semaine-01,20190410,2
PI-H19-PI_GTFS-Semaine-01,20190411,2
PI-H19-PI_GTFS-Semaine-01,20190412,2
PI-H19-PI_GTFS-Semaine-01,20190415,2
PI-H19-PI_GTFS-Semaine-01,20190416,2
PI-H19-PI_GTFS-Semaine-01,20190417,2
PI-H19-PI_GTFS-Semaine-01,20190418,2
PI-H19-PI_GTFS-Semaine-01,20190419,2
PI-H19-PI_GTFS-Semaine-01,20190422,2
PI-H19-PI_GTFS-Semaine-01,20190423,2
PI-H19-PI_GTFS-Semaine-01,20190424,2
PI-H19-PI_GTFS-Semaine-01,20190425,2
PI-H19-PI_GTFS-Semaine-01,20190426,2
PI-H19-PI_GTFS-Semaine-01,20190429,2
PI-H19-PI_GTFS-Semaine-01,20190430,2
PI-H19-PI_GTFS-Semaine-01,20190501,2
PI-H19-PI_GTFS-Semaine-01,20190502,2
PI-H19-PI_GTFS-Semaine-01,20190503,2
PI-H19-PI_GTFS-Semaine-01,20190506,2
PI-H19-PI_GTFS-Semaine-01,20190507,2
PI-H19-PI_GTFS-Semaine-01,20190508,2
PI-H19-PI_GTFS-Semaine-01,20190509,2
PI-H19-PI_GTFS-Semaine-01,20190510,2
PI-H19-PI_GTFS-Semaine-01,20190513,2
PI-H19-PI_GTFS-Semaine-01,20190514,2
PI-H19-PI_GTFS-Semaine-01,20190515,2
PI-H19-PI_GTFS-Semaine-01,20190516,2
PI-H19-PI_GTFS-Semaine-01,20190517,2
PI-H19-PI_GTFS-Semaine-01,20190520,2
PI-H19-PI_GTFS-Semaine-01,20190521,2
PI-H19-PI_GTFS-Semaine-01,20190522,2
PI-H19-PI_GTFS-Semaine-01,20190523,2
PI-H19-PI_GTFS-Semaine-01,20190524,2
PI-H19-PI_GTFS-Semaine-01,20190527,2
PI-H19-PI_GTFS-Semaine-01,20190528,2
PI-H19-PI_GTFS-Semaine-01,20190529,2
PI-H19-PI_GTFS-Semaine-01,20190530,2
PI-H19-PI_GTFS-Semaine-01,20190531,2
PI-H19-PI_GTFS-Semaine-02,20190114,2
PI-H19-PI_GTFS-Semaine-02,20190115,2
PI-H19-PI_GTFS-Semaine-02,20190116,2
PI-H19-PI_GTFS-Semaine-02,20190117,2
PI-H19-PI_GTFS-Semaine-02,20190118,2
PI-H19-PI_GTFS-Semaine-02,20190419,2
PI-H19-PI_GTFS-Semaine-02,20190520,2
PI-H19-PI_GTFS-Semaine-02,20190603,2
PI-H19-PI_GTFS-Semaine-02,20190604,2
PI-H19-PI_GTFS-Semaine-02,20190605,2
PI-H19-PI_GTFS-Semaine-02,20190606,2
PI-H19-PI_GTFS-Semaine-02,20190607,2
PI-H19-PI_GTFS-Semaine-02,20190610,2
PI-H19-PI_GTFS-Semaine-02,20190611,2
PI-H19-PI_GTFS-Semaine-02,20190612,2
PI-H19-PI_GTFS-Semaine-02,20190613,2
PI-H19-PI_GTFS-Semaine-02,20190614,2
PI-H19-PI_GTFS-Semaine-02,20190617,2
PI-H19-PI_GTFS-Semaine-02,20190618,2
PI-H19-PI_GTFS-Semaine-02,20190619,2
PI-H19-PI_GTFS-Semaine-02,20190620,2
PI-H19-PI_GTFS-Semaine-02,20190621,2
PI-H19-PI_GTFS-Fête-1-01,20190419,1
PI-H19-PI_GTFS-Fête-1-01,20190520,1
