shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10202,45.400035,-74.051328,10001,0.000
10202,45.399878,-74.050993,10002,0.032
10202,45.399740,-74.051227,10003,0.056
10202,45.399821,-74.051599,10004,0.086
10202,45.400085,-74.051839,10005,0.121
10202,45.400219,-74.051719,10006,0.139
10202,45.400373,-74.052046,10007,0.169
10202,45.401135,-74.051387,10008,0.269
10202,45.401260,-74.051232,10009,0.287
10202,45.401362,-74.051095,10010,0.303
10202,45.401461,-74.050918,10011,0.320
10202,45.401583,-74.050681,10012,0.343
10202,45.401918,-74.049977,10013,0.410
10202,45.402112,-74.049576,10014,0.448
10202,45.402112,-74.049576,20001,0.448
10202,45.402335,-74.049116,20002,0.492
10202,45.403533,-74.046636,20003,0.727
10202,45.403533,-74.046636,30001,0.727
10202,45.403586,-74.046529,30002,0.737
10202,45.404435,-74.044786,30003,0.903
10202,45.404857,-74.043926,30004,0.985
10202,45.404980,-74.043654,30005,1.011
10202,45.405107,-74.043384,30006,1.036
10202,45.405176,-74.043157,30007,1.056
10202,45.405245,-74.042882,30008,1.078
10202,45.405286,-74.042571,30009,1.103
10202,45.405297,-74.042347,30010,1.121
10202,45.405297,-74.042347,40001,1.121
10202,45.405303,-74.042231,40002,1.130
10202,45.405298,-74.041841,40003,1.160
10202,45.405273,-74.041306,40004,1.202
10202,45.405254,-74.040715,40005,1.249
10202,45.405244,-74.040384,40006,1.275
10202,45.405235,-74.040229,40007,1.287
10202,45.405214,-74.040043,40008,1.302
10202,45.405177,-74.039831,40009,1.319
10202,45.405082,-74.039342,40010,1.358
10202,45.405055,-74.039176,40011,1.372
10202,45.405055,-74.039176,50001,1.372
10202,45.404835,-74.037840,50002,1.479
10202,45.404809,-74.037654,50003,1.494
10202,45.404879,-74.037634,50004,1.502
10202,45.404967,-74.037612,50005,1.512
10202,45.405614,-74.037392,50006,1.586
10202,45.405907,-74.037273,50007,1.619
10202,45.406118,-74.037161,50008,1.645
10202,45.406309,-74.037041,50009,1.668
10202,45.406496,-74.036900,50010,1.691
10202,45.406711,-74.036706,50011,1.720
10202,45.406974,-74.036432,50012,1.756
10202,45.407444,-74.035891,50013,1.823
10202,45.408032,-74.035245,50014,1.906
10202,45.408145,-74.035112,50015,1.922
10202,45.408249,-74.035208,50016,1.936
10202,45.408369,-74.035318,50017,1.952
10202,45.408650,-74.035600,50018,1.990
10202,45.409058,-74.036024,50019,2.046
10202,45.409757,-74.036730,50020,2.142
10202,45.409893,-74.036870,50021,2.160
10202,45.410474,-74.037470,50022,2.240
10202,45.410911,-74.037920,50023,2.300
10202,45.411195,-74.038207,50024,2.339
10202,45.411746,-74.038747,50025,2.413
10202,45.412009,-74.039016,50026,2.449
10202,45.412115,-74.039125,50027,2.464
10202,45.412046,-74.039268,50028,2.478
10202,45.411926,-74.039525,50029,2.502
10202,45.411765,-74.039855,50030,2.533
10202,45.411564,-74.040247,50031,2.571
10202,45.411559,-74.040255,50032,2.572
10202,45.411559,-74.040255,60001,2.572
10202,45.411335,-74.040597,60002,2.608
10202,45.411223,-74.040759,60003,2.626
10202,45.410858,-74.041200,60004,2.679
10202,45.410589,-74.041612,60005,2.724
10202,45.410404,-74.041827,60006,2.750
10202,45.410385,-74.041851,60007,2.753
10202,45.410369,-74.041886,60008,2.756
10202,45.410369,-74.041886,70001,2.756
10202,45.410042,-74.042593,70002,2.822
10202,45.409340,-74.044020,70003,2.959
10202,45.409340,-74.044020,80001,2.959
10202,45.409302,-74.044098,80002,2.966
10202,45.408191,-74.046352,80003,3.182
10202,45.408191,-74.046352,90001,3.182
10202,45.408153,-74.046429,90002,3.189
10202,45.408143,-74.046454,90003,3.191
10202,45.407228,-74.048303,90004,3.368
10202,45.407085,-74.048643,90005,3.399
10202,45.407085,-74.048643,100001,3.399
10202,45.407041,-74.048750,100002,3.409
10202,45.406964,-74.049001,100003,3.430
10202,45.406847,-74.049835,100004,3.497
10202,45.406813,-74.050024,100005,3.512
10202,45.406765,-74.050165,100006,3.524
10202,45.406765,-74.050165,110001,3.524
10202,45.406753,-74.050198,110002,3.527
10202,45.406733,-74.050235,110003,3.531
10202,45.406881,-74.050387,110004,3.551
