stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_code,wheelchair_boarding
72000,rue Oakland / rue Lakeview,  45.460170, -74.149628,,72000,0
72001,rue Lakeview / rue Maple,  45.459127, -74.147719,,72001,0
72002,rue Lakeview / rue Selkirk,  45.458128, -74.145996,,72002,0
72003,rue Lakeview / rue Cedar,  45.456790, -74.144175,,72003,0
72004,rue Lakeview / rue Cameron,  45.455684, -74.142058,,72004,0
72005,rue Cameron / rue St-Jean,  45.456762, -74.141051,,72005,0
72006,rue Cameron / route Main,  45.457855, -74.139868,,72006,0
72007,côte St-Charles / rue Bridle-Path,  45.447959, -74.166563,,72007,0
72008,route Main / rue Mount-Pleasant,  45.454707, -74.135712,,72008,0
72009,rue Mount-Pleasant / face au passage piétonnier,  45.452290, -74.140149,,72009,0
72010,rue Mount-Pleasant / rue Upper-McNaughten,  45.452894, -74.142366,,72010,0
72011,rue Mount-Pleasant / rue Cameron,  45.452975, -74.146358,,72011,0
72012,rue Cameron / rue Wellesley,  45.450956, -74.149604,,72012,0
72013,rue Cameron / rue Fairhaven,  45.445023, -74.148219,,72013,0
72014,côte St-Charles / rue Windcrest,  45.451043, -74.163533,,72014,0
72015,côte St-Charles/face à l'École secondaire Westwood,  45.461964, -74.153007,,72015,0
72016,côte St-Charles / rue Forestview,  45.453981, -74.160783,,72016,0
72017,côte St-Charles / rue Hillside,  45.456495, -74.158294,,72017,0
72018,côte St-Charles / rue Ridge,  45.459593, -74.155338,,72018,0
72019,côte St-Charles / route Main,  45.464243, -74.150816,,72019,0
72020,rue Provence / rue Raimbeau,  45.379947, -73.945887,,72020,0
72021,rue Provence / rue Raimbeau,  45.379760, -73.946097,,72021,0
72022,montée Sagala / rue Henriette,  45.399328, -73.951855,,72022,0
72023,montée Sagala / rue Henriette,  45.399477, -73.951865,,72023,0
72024,Grand Boulevard / 4e rue,  45.391829, -73.960966,,72024,0
72025,4e rue / Grand Boulevard,  45.391899, -73.960840,,72025,0
72026,Grand Boulevard / 4e rue,  45.392013, -73.960935,,72026,0
72027,4e rue / 7e avenue,  45.391251, -73.959537,,72027,0
72028,4e rue / 7e avenue,  45.391273, -73.959755,,72028,0
72029,rue Boischâtel / rue Provence,  45.384639, -73.943819,,72029,0
72030,rue Boischâtel / rue Provence,  45.384541, -73.943713,,72030,0
72031,rue du Boisé / 4e rue,  45.390547, -73.958186,,72031,0
72032,4e rue / rue du Boisé,  45.390487, -73.958345,,72032,0
72033,rue Boischâtel / rue des Bouleaux,  45.385584, -73.946218,,72033,0
72034,rue Boischâtel / rue des Bouleaux,  45.385563, -73.946421,,72034,0
72035,boul. Don-Quichotte / 24e avenue,  45.382708, -73.951802,,72035,0
72036,boul. Don-Quichotte / devant LILO,  45.388096, -73.961544,,72036,0
72037,Grand Boulevard / boul. Don-Quichotte,  45.388287, -73.965066,,72037,0
72038,boul. Don-Quichotte / Grand Boulevard,  45.389110, -73.963357,,72038,0
72039,boul. Don-Quichotte / Grand Boulevard,  45.389270, -73.964375,,72039,0
72040,Gare Île-Perrot,  45.395972, -73.963554,,72040,0
72041,Gare Île-Perrot,  45.396104, -73.963702,,72041,0
72042,Grand Boulevard / devant Jean Coutu,  45.389760, -73.963292,,72042,0
72043,Grand Boulevard / face au Jean Coutu,  45.389875, -73.963426,,72043,0
72044,rue Provence / rue Marseille,  45.381996, -73.944903,,72044,0
72045,rue Provence / rue Marseille,  45.382188, -73.944917,,72045,0
72046,boul. des Érables / rue Giffard,  45.388223, -73.944276,,72046,0
72047,boul. des Érables / rue Giffard,  45.388301, -73.944471,,72047,0
72048,boul. des Érables / avenue Port-Joli,  45.386981, -73.942541,,72048,0
72049,boul. des Érables / avenue Port-Joli,  45.387015, -73.942767,,72049,0
72050,boul. des Érables / rue des Hêtres,  45.389258, -73.945530,,72050,0
72051,boul. des Érables / rue des Hêtres,  45.389237, -73.945752,,72051,0
72052,boul. des Érables / 25e avenue,  45.389694, -73.947395,,72052,0
72053,boul. des Érables / 25e avenue,  45.389675, -73.947610,,72053,0
72054,23e avenue / boul. des Érables,  45.390081, -73.949456,,72054,0
72055,boul. des Érables / 23e avenue,  45.390182, -73.949334,,72055,0
72056,23e avenue / 4e rue,  45.388464, -73.950354,,72056,0
72057,4e rue / 23e avenue,  45.388351, -73.950458,,72057,0
72058,4e rue / rue des Ancolies,  45.389090, -73.953706,,72058,0
72059,4e rue / rue des Ancolies,  45.389028, -73.954120,,72059,0
72060,avenue du Parc / rue des Fougères,  45.389231, -73.955889,,72060,0
72061,boul. Perrot / 10e avenue,  45.393410, -73.954154,,72061,0
72062,10e avenue / boul. Perrot,  45.393514, -73.954273,,72062,0
72063,boul. Perrot / 10e avenue,  45.393406, -73.954426,,72063,0
72064,boul. Perrot / 7e avenue,  45.394198, -73.956245,,72064,0
72065,boul. Perrot / 7e avenue,  45.394165, -73.956507,,72065,0
72066,Grand Boulevard / rue St-Pierre,  45.393165, -73.959460,,72066,0
72067,Grand Boulevard / rue St-Pierre,  45.393342, -73.959437,,72067,0
72068,boul. Don-Quichotte / devant la CIBC,  45.389870, -73.964684,,72068,0
72069,boul. Don-Quichotte / devant le Ford,  45.390439, -73.966032,,72069,0
72070,Grand Boulevard / 4e avenue,  45.396158, -73.957789,,72070,0
72071,Grand Boulevard / 4e avenue,  45.396261, -73.958048,,72071,0
