route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,trip_short_name
40,PI-A18-PI_GTFS-Dimanche-01,3392353-PI-A18-PI_GTFS-Dimanche-01,Direction Côte-Vertu,0,400003,803
40,PI-A18-PI_GTFS-Dimanche-01,3392354-PI-A18-PI_GTFS-Dimanche-01,Direction Côte-Vertu,0,400003,805
40,PI-A18-PI_GTFS-Dimanche-01,3392355-PI-A18-PI_GTFS-Dimanche-01,Direction Côte-Vertu,0,400003,811
40,PI-A18-PI_GTFS-Dimanche-01,3392356-PI-A18-PI_GTFS-Dimanche-01,Direction Côte-Vertu,0,400003,813
40,PI-A18-PI_GTFS-Dimanche-01,3392357-PI-A18-PI_GTFS-Dimanche-01,Direction Côte-Vertu,0,400003,815
40,PI-A18-PI_GTFS-Dimanche-01,3392358-PI-A18-PI_GTFS-Dimanche-01,Direction Côte-Vertu,0,400003,817
40,PI-A18-PI_GTFS-Dimanche-01,3392359-PI-A18-PI_GTFS-Dimanche-01,Direction Vaudreuil,1,400004,804
40,PI-A18-PI_GTFS-Dimanche-01,3392360-PI-A18-PI_GTFS-Dimanche-01,Direction Vaudreuil,1,400004,806
40,PI-A18-PI_GTFS-Dimanche-01,3392361-PI-A18-PI_GTFS-Dimanche-01,Direction Vaudreuil,1,400004,812
40,PI-A18-PI_GTFS-Dimanche-01,3392362-PI-A18-PI_GTFS-Dimanche-01,Direction Vaudreuil,1,400004,814
40,PI-A18-PI_GTFS-Dimanche-01,3392363-PI-A18-PI_GTFS-Dimanche-01,Direction Vaudreuil,1,400004,816
40,PI-A18-PI_GTFS-Dimanche-01,3392364-PI-A18-PI_GTFS-Dimanche-01,Direction Vaudreuil,1,400004,818
335,PI-A18-PI_GTFS-Dimanche-01,3392365-PI-A18-PI_GTFS-Dimanche-01,Direction Ste-Anne-de-Bellevue,0,3350017,14
335,PI-A18-PI_GTFS-Dimanche-01,3392366-PI-A18-PI_GTFS-Dimanche-01,Direction Ste-Anne-de-Bellevue,0,3350017,20
335,PI-A18-PI_GTFS-Dimanche-01,3392367-PI-A18-PI_GTFS-Dimanche-01,Direction Ste-Anne-de-Bellevue,0,3350016,10
335,PI-A18-PI_GTFS-Dimanche-01,3392368-PI-A18-PI_GTFS-Dimanche-01,Direction Ste-Anne-de-Bellevue,0,3350016,12
335,PI-A18-PI_GTFS-Dimanche-01,3392369-PI-A18-PI_GTFS-Dimanche-01,Direction Ste-Anne-de-Bellevue,0,3350016,16
335,PI-A18-PI_GTFS-Dimanche-01,3392370-PI-A18-PI_GTFS-Dimanche-01,Direction Ste-Anne-de-Bellevue,0,3350016,18
335,PI-A18-PI_GTFS-Dimanche-01,3392371-PI-A18-PI_GTFS-Dimanche-01,Direction Ste-Anne-de-Bellevue,0,3350016,22
