service_id,date,exception_type
SO-H19-SO_GTFS-Semaine-03,20190419,2
SO-H19-SO_GTFS-Semaine-03-0000100,20190419,2
SO-H19-SO_GTFS-Semaine-03-0001100,20190419,2
SO-H19-SO_GTFS-Semaine-03,20190422,2
SO-H19-SO_GTFS-Semaine-03-0000100,20190422,2
SO-H19-SO_GTFS-Semaine-03-0001100,20190422,2
SO-H19-SO_GTFS-Semaine-03,20190520,2
SO-H19-SO_GTFS-Semaine-03-0000100,20190520,2
SO-H19-SO_GTFS-Semaine-03-0001100,20190520,2
SO-H19-SO_GTFS-Fête-2-03,20190419,1
SO-H19-SO_GTFS-Fête-2-03,20190422,1
SO-H19-SO_GTFS-Fête-1-01,20190520,1
