shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10109,45.269721,-74.136087,10001,0.000
10109,45.269381,-74.137073,10002,0.086
10109,45.268812,-74.138744,10003,0.232
10109,45.268659,-74.138665,10004,0.250
10109,45.268365,-74.138492,10005,0.285
10109,45.267147,-74.137595,10006,0.438
10109,45.266543,-74.137141,10007,0.514
10109,45.266183,-74.136884,10008,0.559
10109,45.265378,-74.136288,10009,0.660
10109,45.265256,-74.136164,10010,0.676
10109,45.265101,-74.135986,10011,0.699
10109,45.264997,-74.135876,10012,0.713
10109,45.264839,-74.135762,10013,0.733
10109,45.264700,-74.135637,10014,0.751
10109,45.264200,-74.135280,10015,0.813
10109,45.263604,-74.134852,10016,0.888
10109,45.262981,-74.134409,10017,0.965
10109,45.262499,-74.134066,10018,1.025
10109,45.261885,-74.133624,10019,1.102
10109,45.261309,-74.132905,10020,1.187
10109,45.261214,-74.132808,10021,1.200
10109,45.261154,-74.132727,10022,1.209
10109,45.260645,-74.132115,10023,1.284
10109,45.260620,-74.132074,10024,1.288
10109,45.260551,-74.131993,10025,1.298
10109,45.260330,-74.131632,10026,1.335
10109,45.260272,-74.131512,10027,1.347
10109,45.259684,-74.130626,10028,1.442
10109,45.259489,-74.130305,10029,1.475
10109,45.259377,-74.130169,10030,1.492
10109,45.259230,-74.130018,10031,1.512
10109,45.259020,-74.129849,10032,1.539
10109,45.258860,-74.129786,10033,1.557
10109,45.258618,-74.129767,10034,1.584
10109,45.258517,-74.129763,10035,1.595
10109,45.257447,-74.129829,10036,1.714
10109,45.257147,-74.129847,10037,1.748
10109,45.256548,-74.129882,10038,1.815
10109,45.256479,-74.129885,10039,1.822
10109,45.256431,-74.129879,10040,1.828
10109,45.256249,-74.129857,10041,1.848
10109,45.256249,-74.129857,20001,1.848
10109,45.255717,-74.129789,20002,1.907
10109,45.255116,-74.129718,20003,1.974
10109,45.255001,-74.129709,20004,1.987
10109,45.255001,-74.129709,30001,1.987
10109,45.254901,-74.129702,30002,1.998
10109,45.254435,-74.130794,30003,2.098
10109,45.254435,-74.130794,40001,2.098
10109,45.254416,-74.130838,40002,2.103
10109,45.254356,-74.130999,40003,2.117
10109,45.254278,-74.131172,40004,2.133
10109,45.254178,-74.131413,40005,2.155
10109,45.254098,-74.131601,40006,2.172
10109,45.254020,-74.131790,40007,2.189
10109,45.253783,-74.132346,40008,2.240
10109,45.253342,-74.131995,40009,2.296
10109,45.253342,-74.131995,50001,2.296
10109,45.253040,-74.131754,50002,2.335
10109,45.252865,-74.131613,50003,2.357
10109,45.252533,-74.131358,50004,2.400
10109,45.252411,-74.131247,50005,2.416
10109,45.251987,-74.130915,50006,2.469
10109,45.251987,-74.130915,60001,2.469
10109,45.251816,-74.130781,60002,2.491
10109,45.251845,-74.130719,60003,2.497
10109,45.252400,-74.129407,60004,2.617
10109,45.252400,-74.129407,70001,2.617
10109,45.252409,-74.129385,70002,2.619
10109,45.252972,-74.128019,70003,2.743
10109,45.253469,-74.126839,70004,2.851
10109,45.253697,-74.126290,70005,2.901
10109,45.253697,-74.126290,80001,2.901
10109,45.253737,-74.126196,80002,2.910
10109,45.254348,-74.126702,80003,2.989
10109,45.254950,-74.127206,80004,3.066
10109,45.255089,-74.127315,80005,3.084
10109,45.255089,-74.127315,90001,3.084
10109,45.255694,-74.127786,90002,3.161
10109,45.255965,-74.127997,90003,3.195
10109,45.256169,-74.128089,90004,3.219
10109,45.256240,-74.128120,90005,3.227
10109,45.256383,-74.128131,90006,3.243
10109,45.256540,-74.128135,90007,3.260
10109,45.256540,-74.128135,100001,3.260
10109,45.256599,-74.128137,100002,3.267
10109,45.256730,-74.128131,100003,3.282
10109,45.257329,-74.128079,100004,3.348
10109,45.257329,-74.128079,110001,3.348
10109,45.257349,-74.128077,110002,3.351
10109,45.257671,-74.128127,110003,3.387
10109,45.257917,-74.128286,110004,3.417
10109,45.258153,-74.128482,110005,3.447
10109,45.258365,-74.128092,110006,3.486
10109,45.258492,-74.127858,110007,3.509
10109,45.258541,-74.127747,110008,3.519
10109,45.258590,-74.127661,110009,3.528
10109,45.258612,-74.127548,110010,3.537
10109,45.258707,-74.126877,110011,3.591
10109,45.258225,-74.126490,110012,3.653
10109,45.258225,-74.126490,120001,3.653
10109,45.258074,-74.126368,120002,3.672
10109,45.257588,-74.126055,120003,3.731
10109,45.257493,-74.126889,120004,3.798
10109,45.257456,-74.127142,120005,3.818
10109,45.257430,-74.127369,120006,3.836
10109,45.257349,-74.128077,120007,3.892
10109,45.257671,-74.128127,120008,3.928
10109,45.257917,-74.128286,120009,3.958
10109,45.258116,-74.128451,120010,3.984
10109,45.258116,-74.128451,130001,3.984
10109,45.258153,-74.128482,130002,3.989
10109,45.258380,-74.128678,130003,4.018
10109,45.258640,-74.128953,130004,4.054
10109,45.259232,-74.129712,130005,4.143
10109,45.260136,-74.130814,130006,4.276
10109,45.260347,-74.130944,130007,4.302
10109,45.260365,-74.130958,130008,4.304
10109,45.260545,-74.130972,130009,4.324
10109,45.261072,-74.131089,130010,4.383
10109,45.261151,-74.131133,130011,4.393
10109,45.261212,-74.131176,130012,4.400
10109,45.261688,-74.130380,130013,4.482
