stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_code,wheelchair_boarding
16000,Terminus Mansfield,  45.498457, -73.564729,,16000,0
76557,boul. Newman / av. Labatt,  45.427280, -73.644449,,76557,0
77501,av. Labatt / boul. Newman,  45.427072, -73.644425,,77501,0
77503,boul. Newman / av. Dollard,  45.430096, -73.635640,,77503,0
77504,boul. Newman / boul. Shevchenko,  45.432271, -73.629895,,77504,0
77505,boul. Newman / rue Thierry,  45.436357, -73.625354,,77505,0
77506,boul. Newman / rue Lapierre,  45.439318, -73.622184,,77506,0
77507,boul. Newman / rue Senkus,  45.444051, -73.614193,,77507,0
77508,boul. Newman / boul. des Trinitaires,  45.447219, -73.610059,,77508,0
77509,boul. Newman / rue Léger,  45.441290, -73.618868,,77509,0
77655,av. Labatt / rue Airlie,  45.424182, -73.645618,,77655,0
77657,boul. Newman / 90e avenue,  45.428988, -73.638993,,77657,0
78002,rue Ellice / rue Ste-Catherine,  45.314826, -73.872818,,78002,0
78003,rue de la Haute Rivière / face à la Caisse Populai,  45.345312, -73.755219,,78003,0
78005,boul. Vanier / rue d'Iberville,  45.364819, -73.739076,,78005,0
78006,boul. Vanier / avenue Normand,  45.362539, -73.738777,,78006,0
78007,boul. Salaberry nord / rue Beauregard,  45.387321, -73.747088,,78007,0
78008,boul. Salaberry nord / rue Beauregard,  45.387326, -73.747146,,78008,0
78009,rue Gordon / rue Robert,  45.379729, -73.736593,,78009,0
78010,rue Robert / rue Gordon,  45.379722, -73.736646,,78010,0
78011,boul. Maple / rue Dupont est,  45.378240, -73.735653,,78011,0
78012,boul. Maple / rue Dupont est,  45.378278, -73.735680,,78012,0
78013,rue Marcel / rue Hans-Selye,  45.362528, -73.711972,,78013,0
78014,boul. Albert-Einstein / rue Marcel,  45.361938, -73.708164,,78014,0
78015,rue Marcel / boul. Albert-Einstein,  45.362000, -73.708387,,78015,0
78016,boul. Albert-Einstein / rue Marie-Curie,  45.361003, -73.707838,,78016,0
78017,boul. Albert-Einstein / rue Marie-Curie,  45.361100, -73.708220,,78017,0
78018,boul. Albert-Einstein / rue Pasteur,  45.360266, -73.706677,,78018,0
78019,boul. Albert-Einstein / rue Pasteur,  45.360115, -73.707034,,78019,0
78020,boul. Albert-Einstein / rue Pascal,  45.358119, -73.701746,,78020,0
78021,boul. Albert-Einstein / rue Franklin,  45.359004, -73.701850,,78021,0
78022,boul. Primeau / rue Principale,  45.358999, -73.753533,,78022,0
78023,rue Principale / boul. Primeau,  45.359041, -73.753547,,78023,0
78024,rue Principale / boul. Primeau,  45.358959, -73.753616,,78024,0
78025,boul. Albert-Einstein / rue de Bruxelles,  45.354413, -73.702509,,78025,0
78026,boul. Albert-Einstein / rue de Bruxelles,  45.354614, -73.702776,,78026,0
78027,boul. Ste-Marguerite / rue Léonard,  45.353973, -73.703776,,78027,0
78028,boul. Albert-Einstein / boul. Ste-Marguerite,  45.353810, -73.704026,,78028,0
78029,boul. de Gaulle / boul. Ste-Marguerite,  45.354153, -73.706968,,78029,0
78030,boul. Ste-Marguerite / rue Fournier,  45.354274, -73.706274,,78030,0
78031,boul. de Gaulle / rue Bernard,  45.352253, -73.707595,,78031,0
78032,boul. de Gaulle / rue Bernard,  45.352463, -73.707764,,78032,0
78033,boul. de Gaulle / boul. Kennedy,  45.349214, -73.707963,,78033,0
78034,boul. de Gaulle / boul. Kennedy,  45.349438, -73.708148,,78034,0
78035,boul. de Gaulle / rue Desmarais,  45.347131, -73.709204,,78035,0
78036,boul. de Gaulle / rue Desmarais,  45.346857, -73.709363,,78036,0
78037,boul. de Gaulle / avenue Brahms,  45.347023, -73.712085,,78037,0
78038,avenue Brahms / boul. de Gaulle,  45.347049, -73.712411,,78038,0
78039,boul. Rameau / avenue Brahms,  45.348612, -73.712188,,78039,0
78040,boul. Rameau / rue Schubert,  45.348424, -73.712972,,78040,0
78041,boul. Rameau / rue Astrale,  45.349399, -73.719564,,78041,0
78042,boul. Rameau / rue Mozart,  45.348977, -73.720436,,78042,0
78043,boul. St-Joseph / boul. d'Anjou,  45.358843, -73.727415,,78043,0
78044,boul. St-Joseph / boul. d'Anjou,  45.358886, -73.727794,,78044,0
78045,boul. St-Jean-Baptiste / rue du Parc ouest,  45.354780, -73.718151,,78045,0
78046,boul. St-Jean-Baptiste / boul. Ste-Marguerite,  45.355492, -73.717611,,78046,0
78047,boul. Primeau / rue Bergevin,  45.347479, -73.753780,,78047,0
78048,boul. Primeau / rue Maxime-Raymond,  45.348261, -73.753262,,78048,0
78049,boul. Primeau / rue Maxime-Raymond,  45.348346, -73.753498,,78049,0
78050,boul. Primeau / ch. de la Haute-Rivière,  45.349916, -73.752226,,78050,0
78051,boul. Primeau / rue Albert-Seers,  45.350148, -73.752329,,78051,0
78052,boul. Primeau / rue Lalemant,  45.354337, -73.751140,,78052,0
78053,boul. Primeau / rue Lalemant,  45.354347, -73.751181,,78053,0
78054,boul. Primeau / rue St-André,  45.355265, -73.751642,,78054,0
78055,rue Chopin / boul. St-Jean-Baptiste,  45.347295, -73.722471,,78055,0
78056,rue Parkview / boul. St-Jean-Baptiste,  45.349425, -73.722318,,78056,0
78057,rue Parkview / boul. St-Jean-Baptiste,  45.349296, -73.722476,,78057,0
